"636033";"Alabama";"DriversLicense"
"636059";"Alaska";"DriversLicense"
"604427";"American Samoa";"DriversLicense"
"636026";"Arizona";"DriversLicense"
"636021";"Arkansas";"DriversLicense"
"636028";"British Columbia";"DriversLicense"
"636014";"California";"DriversLicense"
"636056";"Coahuila";"DriversLicense"
"636020";"Colorado";"DriversLicense"
"636006";"Connecticut";"DriversLicense"
"636011";"Delaware";"DriversLicense"
"636043";"District of Columbia";"DriversLicense"
"636010";"Florida";"DriversLicense"
"636055";"Georgia";"DriversLicense"
"636019";"Guam";"DriversLicense"
"636047";"Hawaii";"DriversLicense"
"636057";"Hidalgo";"DriversLicense"
"636050";"Idaho";"DriversLicense"
"636035";"Illinois";"DriversLicense"
"636037";"Indiana";"DriversLicense"
"636018";"Iowa";"DriversLicense"
"636022";"Kansas";"DriversLicense"
"636046";"Kentucky";"DriversLicense"
"636007";"Louisiana";"DriversLicense"
"636041";"Maine";"DriversLicense"
"636048";"Manitoba";"DriversLicense"
"636003";"Maryland";"DriversLicense"
"636002";"Massachusetts";"DriversLicense"
"636032";"Michigan";"DriversLicense"
"636038";"Minnesota";"DriversLicense"
"636051";"Mississippi";"DriversLicense"
"636030";"Missouri";"DriversLicense"
"636008";"Montana";"DriversLicense"
"636054";"Nebraska";"DriversLicense"
"636049";"Nevada";"DriversLicense"
"636017";"New Brunswick";"DriversLicense"
"636039";"New Hampshire";"DriversLicense"
"636036";"New Jersey";"DriversLicense"
"636009";"New Mexico";"DriversLicense"
"636001";"New York";"DriversLicense"
"636016";"Newfoundland";"DriversLicense"
"636004";"North Carolina";"DriversLicense"
"636034";"North Dakota";"DriversLicense"
"636013";"Nova Scotia";"DriversLicense"
"636023";"Ohio";"DriversLicense"
"636058";"Oklahoma";"DriversLicense"
"636012";"Ontario";"DriversLicense"
"636029";"Oregon";"DriversLicense"
"636025";"Pennsylvania";"DriversLicense"
"604426";"Prince Edward Island";"DriversLicense"
"604428";"Quebec";"DriversLicense"
"636052";"Rhode Island";"DriversLicense"
"636044";"Saskatchewan";"DriversLicense"
"636005";"South Carolina";"DriversLicense"
"636042";"South Dakota";"DriversLicense"
"636027";"State Dept (USA) ";"DriversLicense"
"636053";"Tennessee";"DriversLicense"
"636015";"Texas";"DriversLicense"
"636062";"US Virgin Islands ";"DriversLicense"
"636040";"Utah";"DriversLicense"
